generation,fitness_std,geno_diversity,best_valid_numberOfPoints,best_valid_mse,best_valid_fitness,best_overall_numberOfPoints,best_overall_mse,best_overall_fitness,avg_numberOfPoints,avg_mse,avg_fitness,number_valid_individuals,total_time,run_id
0,NaN,0.24999999999999978,52,8.722457706236964,Inf,52,11.324365291040069,Inf,52.0,13.021824971315151,Inf,200,0.0261434,66
1,NaN,0.24994999999999984,52,8.722457706236964,Inf,52,8.722457706236964,Inf,51.99,11.331443819676362,Inf,200,0.045944499,66
2,NaN,0.2499749999999998,52,8.722457706236964,Inf,52,8.722457706236964,Inf,51.995,10.670539621934306,Inf,200,0.064649599,66
3,NaN,0.2499749999999998,52,8.722457706236964,Inf,52,8.722457706236964,Inf,51.995,10.19827088232696,Inf,200,0.086476099,66
4,NaN,0.24989999999999982,52,8.568017362351663,Inf,52,8.568017362351663,Inf,51.98,9.884584902829173,Inf,200,0.104737699,66
5,NaN,0.24992499999999981,52,8.394378415031392,Inf,52,8.394378415031392,Inf,51.985,9.645164873767618,Inf,200,0.127131598,66
6,NaN,0.24994999999999984,52,8.394378415031392,Inf,52,8.394378415031392,Inf,51.99,9.4627547564207,Inf,200,0.14561279800000002,66
7,NaN,0.2499749999999998,52,8.394378415031392,Inf,52,8.394378415031392,Inf,51.995,9.275644724597363,Inf,200,0.16926859900000002,66
8,NaN,0.24987499999999982,52,8.244526560608934,Inf,52,8.244526560608934,Inf,51.975,9.128121302423777,Inf,200,0.18907789900000002,66
9,NaN,0.24989999999999987,52,8.244526560608934,Inf,52,8.244526560608934,Inf,51.98,8.982493498712051,Inf,200,0.21312179800000003,66
10,NaN,0.24989999999999987,52,7.739360529870462,Inf,52,7.739360529870462,Inf,51.98,8.839733283512604,Inf,200,0.23307979800000003,66
11,NaN,0.2498749999999999,52,7.739360529870462,Inf,52,7.739360529870462,Inf,51.975,8.716593124424467,Inf,200,0.25220839800000006,66
12,NaN,0.24987499999999982,52,7.739360529870462,Inf,52,7.739360529870462,Inf,51.975,8.606331874124958,Inf,200,0.27968269800000006,66
13,NaN,0.2499499999999999,52,7.739360529870462,Inf,52,7.739360529870462,Inf,51.99,8.501698857926128,Inf,200,0.30251159800000005,66
14,NaN,0.24997499999999984,52,7.650894572876819,Inf,52,7.650894572876819,Inf,51.995,8.403634955070315,Inf,200,0.32278509800000005,66
15,NaN,0.2499749999999998,52,7.650894572876819,Inf,52,7.650894572876819,Inf,51.995,8.321046463270015,Inf,200,0.34956649800000006,66
16,NaN,0.24989999999999987,52,7.501189303089072,Inf,52,7.501189303089072,Inf,51.98,8.209990242490562,Inf,200,0.3691630980000001,66
17,NaN,0.2499249999999999,52,7.501189303089072,Inf,52,7.501189303089072,Inf,51.985,8.119993904862623,Inf,200,0.3925275980000001,66
18,NaN,0.24999999999999986,52,7.501189303089072,Inf,52,7.501189303089072,Inf,52.0,8.02737190545728,Inf,200,0.4186987980000001,66
19,NaN,0.24999999999999986,52,7.30971615639524,Inf,52,7.30971615639524,Inf,52.0,7.933797478712594,Inf,200,0.43916819800000007,66
20,NaN,0.24999999999999986,52,7.30971615639524,Inf,52,7.30971615639524,Inf,52.0,7.858642163092651,Inf,200,0.4596779980000001,66
21,NaN,0.24997499999999984,52,7.209161507935268,Inf,52,7.209161507935268,Inf,51.995,7.774444339728332,Inf,200,0.4859732970000001,66
22,NaN,0.24989999999999984,52,7.209161507935268,Inf,52,7.209161507935268,Inf,51.98,7.69914027370781,Inf,200,0.5099948970000001,66
23,NaN,0.24994999999999987,52,6.713274597335626,Inf,52,6.713274597335626,Inf,51.99,7.62174577525417,Inf,200,0.5305280960000001,66
24,NaN,0.24989999999999984,52,6.713274597335626,Inf,52,6.713274597335626,Inf,51.99,7.5493139066745565,Inf,200,0.556369996,66
25,NaN,0.24939999999999984,52,6.713274597335626,Inf,52,6.713274597335626,Inf,51.99,7.4639337739377245,Inf,200,0.5808839960000001,66
26,NaN,0.24942499999999984,52,6.713274597335626,Inf,52,6.713274597335626,Inf,51.995,7.384640978085778,Inf,200,0.6100632970000001,66
27,NaN,0.24994999999999984,52,6.713274597335626,Inf,52,6.713274597335626,Inf,51.99,7.313855018629704,Inf,200,0.629494097,66
28,NaN,0.2499749999999999,52,6.713274597335626,Inf,52,6.713274597335626,Inf,51.995,7.254776575407451,Inf,200,0.653202297,66
29,NaN,0.2497749999999999,52,6.713274597335626,Inf,52,6.713274597335626,Inf,51.985,7.189354115796479,Inf,200,0.671348396,66
30,NaN,0.24959999999999988,52,6.679036454744349,Inf,52,6.679036454744349,Inf,51.98,7.127937992700592,Inf,200,0.692788996,66
31,NaN,0.2497999999999999,52,6.679036454744349,Inf,52,6.679036454744349,Inf,51.98,7.06985167814193,Inf,200,0.711943196,66
32,NaN,0.24987499999999987,52,6.414241027510408,Inf,52,6.414241027510408,Inf,51.975,7.016295408015431,Inf,200,0.741428397,66
33,NaN,0.24984999999999985,52,6.414241027510408,Inf,52,6.414241027510408,Inf,51.97,6.958742859130328,Inf,200,0.7645667979999999,66
